metric,Hand,Hand_N,Gaze,Gaze_N
Error Rate (%),"1.75 [1.23, 2.26]",297,"18.65 [17.26, 20.04]",314
Throughput (bits/s),"5.15 [5.06, 5.25]",297,"4.70 [4.56, 4.83]",313
Movement Time (s),"1.09 [1.07, 1.11]",297,"1.19 [1.16, 1.23]",314
NASA-TLX (0-100),"40.40 [37.03, 43.76]",81,"47.03 [43.87, 50.18]",81
