modality,ui_mode,slope,r_squared,n
gaze,adaptive,0.19270615767567495,0.27761305444285167,242
gaze,static,0.17862613355674964,0.3483403963451626,240
hand,adaptive,0.14573201723193846,0.5351347321300446,225
hand,static,0.15485373134176034,0.5351047792205669,225
