participant_id,session_number,age,gender,gaming_hours_per_week,input_device,vision_correction,wearing_correction_now,dominant_hand,operating_hand,using_dominant_hand,motor_impairment,fatigue_level,ts,trial_number,trial_in_block,block_number,block_order,block_trial_count,block,trial,modality,ui_mode,pressure,aging,ID,index_of_difficulty_nominal,A,target_distance_A,W,target_x,target_y,target_center_x,target_center_y,endpoint_x,endpoint_y,endpoint_error_px,projected_error_px,rt_ms,correct,err_type,hover_ms,confirm_type,pupil_z_med,adaptation_triggered,target_reentry_count,verification_time_ms,pixels_per_mm,pixels_per_degree,screen_width,screen_height,window_width,window_height,device_pixel_ratio,zoom_level,zoom_pct,is_fullscreen,fullscreen,viewport_w,viewport_h,focus_blur_count,tab_hidden_ms,user_agent,browser,dpi,practice,avg_fps,tlx_mental,tlx_physical,tlx_temporal,tlx_performance,tlx_effort,tlx_frustration,debrief_q1_adaptation_noticed,debrief_q2_strategy_changed,debrief_timestamp
P002,1,18,male,3,mouse,none,False,right,right,True,False,4,89285.29999999702,1,1,2,HaA_P0,10,2,1,gaze,static,1,False,3.4594316186372973,3.4594316186372973,400,400,40,600.0,100.0,651.0,399.0,668.0506975751734,405.96612672787705,18.418827579106893,-6.842391303800426,2392.5,,slip,,space,,False,7.0,1516.2999999970198,5.478971962616823,57.38148680841623,1536,864,1920,1080,1,100,100,True,True,1920,1080,0.0,0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Chrome,1,True,59.84440454853052,50.0,25.0,57.0,75.0,30.0,31.0,"I saw that the interface and targets changed, but I did not realize that it was a result of my performance.","When the targets became easier, I focused less on accuracy and focused more on speed, as the larger targets required less focus and accuracy.",2025-12-07T22:11:04.410Z
P002,1,18,male,3,mouse,none,False,right,right,True,False,4,91136.89999999106,1,2,2,HaA_P0,10,2,2,gaze,static,1,False,3.4594316186372973,3.4594316186372973,400,400,40,322.0,378.00000000000006,373.0,677.0,347.16344822644584,697.5462747757407,33.010253175457215,,861.7999999970198,,slip,,space,,False,,,,,1536,864,1920,1080,1,100,100,True,True,1920,1080,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Chrome,1,True,60.41222459218214,50.0,25.0,57.0,75.0,30.0,31.0,"I saw that the interface and targets changed, but I did not realize that it was a result of my performance.","When the targets became easier, I focused less on accuracy and focused more on speed, as the larger targets required less focus and accuracy.",2025-12-07T22:11:04.410Z
P002,1,18,male,3,mouse,none,False,right,right,True,False,4,93427.09999999404,1,3,2,HaA_P0,10,2,3,gaze,static,1,False,3.4594316186372973,3.4594316186372973,400,400,40,600.0,656.0,651.0,955.0,658.4912576604676,973.8414986695263,20.27611928967861,18.894525655757736,1145.9000000059605,,slip,,space,,False,4.0,571.7000000029802,5.478971962616823,57.38148680841623,1536,864,1920,1080,1,100,100,True,True,1920,1080,0.0,0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Chrome,1,True,60.54224795983115,50.0,25.0,57.0,75.0,30.0,31.0,"I saw that the interface and targets changed, but I did not realize that it was a result of my performance.","When the targets became easier, I focused less on accuracy and focused more on speed, as the larger targets required less focus and accuracy.",2025-12-07T22:11:04.410Z
P002,1,18,male,3,mouse,none,False,right,right,True,False,4,95484.69999998808,1,4,2,HaA_P0,10,2,4,gaze,static,1,False,3.4594316186372973,3.4594316186372973,400,400,40,796.5756851698602,574.5756851698602,847.5625,873.5625,822.8357653802949,874.0035700274309,24.7306681616656,-17.17255811881912,826.2999999970198,,slip,,space,,False,1.0,278.59999999403954,5.478971962616823,57.38148680841623,1536,864,1920,1080,1,100,100,True,True,1920,1080,0.0,0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Chrome,1,True,60.14483859067234,50.0,25.0,57.0,75.0,30.0,31.0,"I saw that the interface and targets changed, but I did not realize that it was a result of my performance.","When the targets became easier, I focused less on accuracy and focused more on speed, as the larger targets required less focus and accuracy.",2025-12-07T22:11:04.410Z
P002,1,18,male,3,mouse,none,False,right,right,True,False,4,97652.29999999702,1,5,2,HaA_P0,10,2,5,gaze,static,1,False,3.4594316186372973,3.4594316186372973,400,400,40,796.5756851698602,181.42431483013976,847.5625,480.421875,847.3184105466205,458.1258225095775,22.297388553750544,15.430769878883256,1074.4000000059605,,slip,,space,,False,5.0,563.0,5.478971962616823,57.38148680841623,1536,864,1920,1080,1,100,100,True,True,1920,1080,0.0,0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Chrome,1,True,60.29203956665096,50.0,25.0,57.0,75.0,30.0,31.0,"I saw that the interface and targets changed, but I did not realize that it was a result of my performance.","When the targets became easier, I focused less on accuracy and focused more on speed, as the larger targets required less focus and accuracy.",2025-12-07T22:11:04.410Z
P002,1,18,male,3,mouse,none,False,right,right,True,False,4,99438.89999999106,1,6,2,HaA_P0,10,2,6,gaze,static,1,False,3.4594316186372973,3.4594316186372973,400,400,40,878.0,378.0,929.0,677.0,920.3626652460392,667.2561080200862,13.021020795936256,-8.70671187522476,724.0999999940395,True,,,space,,False,1.0,281.79999999701977,5.478971962616823,57.38148680841623,1536,864,1920,1080,1,100,100,True,True,1920,1080,0.0,0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Chrome,1,True,60.74304280214429,50.0,25.0,57.0,75.0,30.0,31.0,"I saw that the interface and targets changed, but I did not realize that it was a result of my performance.","When the targets became easier, I focused less on accuracy and focused more on speed, as the larger targets required less focus and accuracy.",2025-12-07T22:11:04.410Z
P002,1,18,male,3,mouse,none,False,right,right,True,False,4,101423.89999999106,1,7,2,HaA_P0,10,2,7,gaze,static,1,False,3.4594316186372973,3.4594316186372973,400,400,40,403.4243148301398,574.5756851698602,454.421875,873.5625,426.94877647703896,877.0634144272174,27.69526212692385,21.729025929074876,1032.2000000029802,,slip,,space,,False,1.0,61.8999999910593,5.478971962616823,57.38148680841623,1536,864,1920,1080,1,100,100,True,True,1920,1080,0.0,0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Chrome,1,True,59.84499166111876,50.0,25.0,57.0,75.0,30.0,31.0,"I saw that the interface and targets changed, but I did not realize that it was a result of my performance.","When the targets became easier, I focused less on accuracy and focused more on speed, as the larger targets required less focus and accuracy.",2025-12-07T22:11:04.410Z
P002,1,18,male,3,mouse,none,False,right,right,True,False,4,103468.5,1,8,2,HaA_P0,10,2,8,gaze,static,1,False,3.4594316186372973,3.4594316186372973,400,400,40,403.42431483013974,181.4243148301398,454.42189025878906,480.421875,459.2522184131111,497.1943106155536,17.45413035806503,-15.27546108515232,938.4000000059604,True,,,space,,False,2.0,76.6000000089407,5.478971962616823,57.38148680841623,1536,864,1920,1080,1,100,100,True,True,1920,1080,0.0,0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Chrome,1,True,60.08583690987125,50.0,25.0,57.0,75.0,30.0,31.0,"I saw that the interface and targets changed, but I did not realize that it was a result of my performance.","When the targets became easier, I focused less on accuracy and focused more on speed, as the larger targets required less focus and accuracy.",2025-12-07T22:11:04.410Z
P002,1,18,male,3,mouse,none,False,right,right,True,False,4,105134.5,1,9,2,HaA_P0,10,2,9,gaze,static,1,False,3.4594316186372973,3.4594316186372973,400,400,40,600.0,100.0,651.0,399.0,663.8408349381608,389.2366607609361,16.131020891627948,9.856129998419046,703.6000000089407,True,,,space,,False,1.0,125.30000001192091,5.478971962616823,57.38148680841623,1536,864,1920,1080,1,100,100,True,True,1920,1080,0.0,0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Chrome,1,True,60.22368798471243,50.0,25.0,57.0,75.0,30.0,31.0,"I saw that the interface and targets changed, but I did not realize that it was a result of my performance.","When the targets became easier, I focused less on accuracy and focused more on speed, as the larger targets required less focus and accuracy.",2025-12-07T22:11:04.410Z
P002,1,18,male,3,mouse,none,False,right,right,True,False,4,106879.59999999404,1,10,2,HaA_P0,10,2,10,gaze,static,1,False,3.4594316186372973,3.4594316186372973,400,400,40,322.0,378.00000000000006,373.0,677.0,383.8548901377262,666.9776938410995,14.774141621253024,-10.92722865417879,847.5,True,,,space,,False,2.0,136.79999999701977,5.478971962616823,57.38148680841623,1536,864,1920,1080,1,100,100,True,True,1920,1080,0.0,0.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Chrome,1,True,60.319337670017745,50.0,25.0,57.0,75.0,30.0,31.0,"I saw that the interface and targets changed, but I did not realize that it was a result of my performance.","When the targets became easier, I focused less on accuracy and focused more on speed, as the larger targets required less focus and accuracy.",2025-12-07T22:11:04.410Z
